"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-01","2.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-02","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-03","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-04","2.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-05","0.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-06","1.9",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-07","1.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-08","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-09","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-10","2.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-11","1.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-12","2.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-13","2.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-14","1.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-16","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-17","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-18","0.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-19","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-20","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-21","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-22","0.0",",,I",,,,,,,,
